"BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgTDLanded","RedAvgTDLanded","BlueReachCms","RedReachCms","BlueHeightCms","RedHeightCms","BlueAge","RedAge","RedWins","BlueWins","Winner"
3.08,3.3,0.46,0.5,2.2,5.5,205.74,190.5,190.5,187.96,27,30,1,1,0
4.9,4.98,0.7,0.52,3.24,1,175.26,177.8,172.72,172.72,30,26,2,2,1
2.99,4.19,0.6,0.46,2.73,2.04,177.8,165.1,170.18,167.64,24,32,8,5,1
3.28,3.54,0.47,0.38,1.02,0.55,167.64,172.72,170.18,170.18,30,38,7,6,1
4.94,3,0.43,0.4,0,1,180.34,180.34,180.34,175.26,33,25,1,1,1
5.59,2.7,0.55,0.5,0,4.8,177.8,180.34,167.64,172.72,27,25,2,2,0
2.22,2.11,0.57,0.56,0.71,5.08,180.34,165.1,182.88,162.56,29,30,2,2,0
4.72,3.57,0.45,0.42,2.04,0.34,195.58,182.88,185.42,182.88,35,31,1,1,1
3.14,1.94,0.5,0.5,0.68,1.55,182.88,172.72,177.8,170.18,32,33,3,4,1
3.73,11.23,0.49,0.54,0.67,1,167.64,172.72,167.64,170.18,30,25,0,0,1
1.68,2.73,0.33,0.5,1.68,2.21,185.42,175.26,185.42,172.72,35,29,3,0,1
1.95,3.46,0.45,0.46,3.3,2.5,175.26,180.34,172.72,177.8,30,27,1,3,0
5.57,4.87,0.54,0.51,1.11,2,160.02,152.4,157.48,160.02,26,28,3,1,0
4.51,4.49,0.55,0.5,0.88,0.42,190.5,195.58,190.5,180.34,29,40,10,5,1
5.5,4.87,0.47,0.5,0.36,0.35,193.04,195.58,190.5,193.04,36,34,6,8,0
4.63,1.55,0.37,0.43,0.89,4.02,180.34,170.18,175.26,175.26,31,19,3,2,0
3.51,4.99,0.44,0.54,2.45,0.89,190.5,182.88,182.88,177.8,32,31,3,3,0
5.06,4.85,0.59,0.45,4.08,0,195.58,182.88,193.04,187.96,30,34,4,1,1
4.89,4.09,0.53,0.49,1.48,0.36,182.88,187.96,180.34,187.96,31,31,4,4,1
3.81,2.39,0.54,0.4,1.7,1.47,182.88,177.8,170.18,175.26,29,29,8,5,1
4.71,3.22,0.57,0.52,0,0.61,198.12,182.88,185.42,175.26,30,33,2,2,1
2.02,4.84,0.34,0.52,0,1.88,185.42,162.56,177.8,167.64,32,32,3,0,0
2.9,4.71,0.37,0.46,1.85,1.7,172.72,175.26,170.18,167.64,29,35,5,5,1
5.94,4.67,0.52,0.5,0.25,1.79,175.26,180.34,170.18,167.64,31,32,5,3,1
4.48,3.09,0.49,0.57,0.88,5.15,160.02,167.64,157.48,167.64,24,30,2,3,1
4.59,4.35,0.48,0.47,0.27,2.22,185.42,162.56,167.64,167.64,32,34,7,4,1
5.3,2.65,0.5,0.59,1.24,3.19,182.88,177.8,175.26,177.8,35,32,14,23,0
6.22,6.01,0.58,0.42,0.36,0.78,182.88,193.04,185.42,185.42,33,33,15,6,0
5.08,4.24,0.5,0.49,1.08,0.83,187.96,205.74,182.88,190.5,29,31,13,7,0
4.96,5.21,0.4,0.42,0.34,1.04,182.88,193.04,180.34,182.88,33,34,7,13,0
4.3,4.38,0.42,0.47,0.71,0.72,185.42,198.12,180.34,190.5,37,33,12,10,0
4.33,4.12,0.54,0.57,1.2,0,190.5,187.96,182.88,185.42,33,36,2,4,1
3.94,2.46,0.52,0.64,4.17,6.85,190.5,200.66,187.96,190.5,33,32,7,6,0
1.98,3.15,0.56,0.52,2.23,3.65,177.8,182.88,175.26,177.8,30,30,9,6,0
3.38,3.65,0.44,0.49,1.56,0.7,185.42,203.2,180.34,190.5,29,33,4,12,1
4.23,3.33,0.39,0.48,3,1.18,182.88,187.96,180.34,187.96,32,32,6,0,1
4.48,2.84,0.52,0.58,1.23,5.36,177.8,167.64,172.72,165.1,28,29,2,4,0
3.03,2.29,0.55,0.33,1.13,1.94,170.18,162.56,170.18,165.1,25,25,0,2,1
5.01,4.11,0.54,0.44,1.59,0.45,185.42,190.5,175.26,180.34,32,38,18,5,1
3.18,5.81,0.49,0.39,1.97,0,193.04,195.58,182.88,182.88,36,30,5,4,0
